,Index1,Metro_Num
0,0,1
1,1,1
2,2,2
3,3,2
4,9,1
5,14,2
6,15,2
7,16,1
8,17,2
9,18,3
10,19,3
11,20,1
12,23,1
13,24,2
14,25,1
15,26,1
16,27,1
17,35,3
18,36,2
19,39,2
20,40,1
21,41,1
22,42,2
23,43,2
24,44,1
25,45,3
26,46,1
27,47,3
28,48,1
29,50,3
30,51,2
31,52,2
32,53,1
33,55,1
34,56,2
35,57,1
36,60,2
37,61,1
38,62,1
39,64,2
40,65,2
41,66,2
42,67,2
43,69,2
44,70,2
45,71,1
46,72,5
47,73,4
48,74,1
49,75,2
50,76,1
51,78,1
52,79,1
53,81,1
54,82,1
55,83,3
56,84,1
57,85,1
58,86,1
59,87,4
60,89,3
61,91,2
62,92,2
63,93,1
64,94,3
65,95,2
66,96,2
67,97,1
68,99,2
69,100,1
70,101,2
71,102,2
72,104,2
73,105,1
74,106,3
75,108,2
76,109,1
77,110,1
78,111,1
79,112,1
80,113,3
81,114,3
82,116,2
83,120,6
84,122,6
85,123,2
86,124,1
87,125,2
88,126,3
89,127,4
90,128,2
91,130,4
92,131,1
93,133,1
94,134,3
95,135,1
96,136,1
97,137,3
98,138,3
99,140,1
100,141,2
101,142,1
102,143,4
103,144,3
104,145,1
105,146,6
106,147,1
107,148,2
108,149,2
109,150,2
110,151,3
111,153,1
112,154,1
113,155,2
114,156,2
115,157,1
116,158,1
117,160,1
118,161,2
119,162,1
120,164,4
121,165,1
122,166,2
123,167,1
124,168,1
125,169,2
126,170,1
127,171,6
128,172,2
129,173,1
130,176,1
131,177,2
132,178,1
133,179,4
134,180,1
135,181,1
136,182,1
137,183,2
138,184,1
139,186,1
140,187,1
141,188,1
142,189,1
143,192,2
144,193,1
145,194,1
146,195,1
147,196,1
148,197,1
149,198,1
150,200,1
151,201,1
152,202,5
153,204,1
154,206,1
155,208,1
156,214,1
157,215,1
158,216,6
159,217,5
160,218,1
161,219,2
162,220,3
163,221,2
164,222,1
165,223,2
166,225,1
167,226,1
168,227,1
169,228,2
170,230,4
171,231,6
172,236,2
173,237,1
174,238,1
175,241,3
176,242,3
177,243,2
178,244,1
179,245,2
180,246,3
181,247,4
182,248,2
183,249,2
184,250,3
185,251,1
186,252,3
187,253,2
188,255,2
189,257,3
190,258,1
191,259,2
192,260,2
193,261,2
194,262,6
195,263,1
196,265,1
197,267,1
198,268,3
199,270,3
200,271,1
201,272,2
202,273,1
203,275,2
204,276,3
205,277,1
206,278,1
207,280,1
208,281,1
209,282,1
210,285,2
211,288,1
212,289,1
213,290,2
214,291,3
215,293,1
216,294,1
217,295,2
218,296,3
219,297,3
220,298,3
221,299,2
222,300,3
223,301,2
224,302,1
225,303,3
226,304,2
227,305,2
228,306,2
229,308,2
230,309,1
231,310,2
232,312,2
233,313,1
234,314,1
235,315,2
236,318,2
237,319,3
238,322,2
239,323,2
240,325,2
241,326,2
242,327,2
243,328,2
244,329,1
245,330,3
246,331,2
247,334,1
248,335,1
249,336,2
250,337,1
251,338,3
252,340,1
253,341,2
254,342,1
255,343,2
256,344,1
257,345,2
258,347,6
259,348,6
260,349,1
261,350,1
262,352,3
263,353,1
264,354,2
265,355,1
266,356,1
267,357,2
268,359,1
269,360,1
270,363,2
271,364,3
272,366,1
273,367,1
274,369,6
275,371,2
276,373,2
277,374,2
278,375,6
279,376,2
280,377,3
281,378,1
282,380,3
283,381,1
284,383,2
285,385,1
286,386,2
287,388,2
288,390,2
289,391,1
290,392,1
291,393,1
292,394,1
293,395,3
294,396,1
295,397,1
296,398,1
297,399,4
298,401,1
299,402,1
300,403,2
301,404,2
302,405,2
303,406,1
304,408,1
305,410,2
306,411,1
307,412,1
308,413,1
309,414,4
310,415,1
311,423,3
312,424,3
313,427,2
314,428,3
315,429,2
316,430,1
317,431,2
318,433,4
319,434,1
320,436,2
321,438,1
322,439,1
323,440,1
324,442,2
325,443,2
326,444,1
327,447,1
328,448,1
329,449,2
330,450,2
331,451,1
332,452,2
333,453,2
334,455,2
335,458,3
336,459,1
337,460,2
338,461,1
339,462,1
340,463,2
341,464,2
342,465,2
343,466,1
344,467,1
345,469,4
346,470,2
347,471,2
348,472,2
349,473,1
350,475,3
351,477,1
352,478,1
353,479,1
354,480,1
355,481,1
356,483,2
357,485,1
358,488,3
359,489,2
360,490,1
361,492,3
362,493,1
363,494,1
364,495,1
365,496,1
366,498,1
367,500,2
368,501,3
369,504,1
370,508,3
371,509,2
372,510,2
373,512,1
374,513,2
375,514,1
376,515,1
377,517,1
378,518,2
379,520,3
380,521,2
381,524,1
382,525,1
383,526,1
384,527,1
385,528,1
386,529,2
387,530,3
388,532,1
389,533,1
390,536,3
391,538,3
392,539,4
393,540,2
394,541,2
395,542,4
396,545,3
397,546,2
398,547,3
399,548,6
400,549,1
401,551,2
402,552,1
403,553,4
404,554,2
405,555,1
406,556,1
407,557,2
408,558,2
409,559,2
410,560,1
411,561,3
412,563,3
413,564,1
414,565,3
415,566,3
416,567,1
417,568,1
418,569,1
419,571,2
420,575,2
421,576,1
422,577,1
423,578,3
424,580,2
425,581,1
426,583,4
427,584,1
428,585,1
429,586,1
430,587,1
431,589,3
432,592,6
433,593,2
434,594,2
435,596,2
436,597,2
437,598,2
438,599,3
439,600,1
440,601,3
441,602,3
442,604,1
443,606,1
444,607,3
445,608,1
446,609,2
447,610,1
448,612,2
449,614,2
450,616,4
451,617,1
452,618,2
453,619,3
454,620,2
455,621,1
456,622,3
457,624,2
458,625,1
459,628,4
460,629,1
461,630,2
462,631,3
463,632,1
464,634,1
465,635,1
466,636,2
467,638,2
468,640,1
469,641,1
470,642,1
471,643,2
472,644,1
473,645,1
474,646,2
475,647,2
476,648,1
477,650,2
478,651,1
479,652,1
480,653,1
481,654,1
482,655,2
483,656,4
484,658,1
485,659,1
486,660,1
487,661,4
488,664,2
489,665,6
490,666,6
491,667,6
492,668,6
493,669,2
494,673,2
495,674,3
496,675,2
497,677,2
498,679,3
499,680,3
500,681,3
501,682,1
502,683,2
503,684,4
504,687,1
505,689,2
506,690,1
507,691,2
508,692,2
509,693,1
510,694,1
511,695,1
512,696,1
513,697,1
514,698,1
515,699,1
516,700,4
517,701,1
518,703,1
519,704,1
520,705,2
521,707,2
522,709,1
523,710,1
524,712,3
525,714,2
526,716,2
527,717,2
528,718,2
529,720,1
530,721,1
531,724,1
532,725,2
533,727,1
534,728,1
535,729,5
536,730,2
537,731,2
538,732,1
539,733,2
540,734,4
541,738,1
542,741,2
543,742,1
544,743,4
545,745,3
546,746,3
547,747,1
548,749,6
549,752,3
550,754,3
551,755,2
552,756,2
553,757,2
554,758,2
555,759,1
556,760,1
557,761,4
558,762,1
559,764,1
560,765,3
561,766,2
562,767,1
563,768,2
564,769,4
565,770,2
566,772,2
567,773,3
568,774,1
569,777,2
570,779,1
571,781,1
572,783,1
573,785,2
574,786,1
575,787,2
576,789,6
577,790,1
578,791,3
579,792,1
580,793,1
581,794,1
582,795,2
583,796,5
584,799,1
585,800,2
586,801,2
587,802,2
588,803,1
589,805,2
590,806,1
591,807,3
592,808,1
593,809,2
594,813,1
595,814,2
596,817,1
597,818,1
598,820,3
599,822,4
600,823,3
601,826,3
602,827,1
603,828,1
604,829,3
605,830,2
606,831,4
607,833,1
608,837,1
609,838,1
610,839,1
611,840,1
612,841,1
613,842,1
614,843,2
615,847,1
616,850,1
617,851,1
618,852,2
619,853,1
620,854,1
621,856,1
622,857,1
623,858,1
624,859,3
625,860,3
626,861,3
627,862,2
628,864,2
629,865,1
630,866,1
631,867,1
632,868,1
633,869,1
634,872,2
635,873,3
636,875,1
637,876,4
638,877,3
639,878,2
640,879,2
641,880,1
642,881,2
643,882,1
644,883,2
645,884,1
646,885,2
647,886,2
648,887,4
649,888,1
650,890,1
651,891,3
652,892,1
653,893,1
654,894,1
655,895,1
656,897,2
657,898,1
658,899,2
659,900,3
660,901,2
661,902,1
662,904,2
663,906,2
664,907,2
665,908,2
666,910,1
667,911,1
668,912,1
669,913,1
670,914,2
671,915,1
672,918,1
673,919,2
674,920,2
675,921,3
676,922,1
677,923,1
678,924,2
679,925,3
680,926,1
681,927,2
682,928,1
683,929,3
684,930,1
685,931,2
686,933,1
687,934,2
688,936,1
689,937,4
690,938,1
691,939,2
692,940,1
693,941,1
694,942,1
695,943,1
696,944,1
697,945,2
698,946,2
699,947,2
700,948,2
701,949,1
702,950,5
703,951,1
704,952,2
705,953,2
706,954,2
707,955,1
708,956,1
709,957,2
710,958,1
711,960,2
712,964,2
713,965,2
714,966,2
715,967,1
716,968,1
717,971,2
718,973,2
719,974,1
720,975,2
721,976,2
722,979,5
723,980,1
724,982,2
725,983,2
726,984,3
727,985,3
728,986,1
729,987,2
730,989,1
731,990,2
732,992,2
733,993,5
734,994,1
735,996,3
736,998,1
737,999,1
738,1000,1
739,1001,2
740,1002,2
741,1003,1
742,1004,3
743,1005,2
744,1006,3
745,1008,2
746,1010,1
747,1012,1
748,1013,2
749,1014,1
750,1016,2
751,1017,2
752,1018,2
753,1019,1
754,1021,4
755,1025,2
756,1026,3
757,1027,1
758,1028,3
759,1029,2
760,1031,1
761,1033,2
762,1034,1
763,1036,2
764,1037,2
765,1038,1
766,1039,1
767,1040,3
768,1041,1
769,1042,2
770,1043,1
771,1044,2
772,1045,1
773,1046,2
774,1047,6
775,1048,6
776,1049,4
777,1050,2
778,1051,2
779,1052,2
780,1054,1
781,1055,1
782,1056,2
783,1057,1
784,1058,2
785,1059,2
786,1060,1
787,1061,3
788,1062,1
789,1063,2
790,1064,2
791,1065,1
792,1066,2
793,1067,2
794,1069,3
795,1070,1
796,1071,1
797,1073,3
798,1074,2
799,1075,1
800,1076,1
801,1077,3
802,1078,1
803,1079,1
804,1080,2
805,1081,1
806,1082,4
807,1083,1
808,1084,1
809,1085,1
810,1086,2
811,1087,1
812,1090,2
813,1091,1
814,1092,2
815,1093,1
816,1094,3
817,1097,2
818,1099,6
819,1102,1
820,1103,3
821,1106,1
822,1108,2
823,1109,1
824,1110,1
825,1111,1
826,1115,1
827,1116,4
828,1117,1
829,1122,1
830,1124,2
831,1125,1
832,1126,6
833,1127,6
834,1128,6
835,1129,1
836,1130,4
837,1132,1
838,1133,4
839,1134,1
840,1137,1
841,1141,1
842,1143,1
843,1144,3
844,1145,2
845,1146,3
846,1147,1
847,1148,1
848,1150,2
849,1151,6
850,1152,1
851,1153,6
852,1154,1
853,1155,1
854,1156,1
855,1157,3
856,1158,2
857,1159,2
858,1160,3
859,1164,1
860,1165,1
861,1166,2
862,1167,1
863,1168,1
864,1169,2
865,1173,1
866,1175,3
867,1176,1
868,1177,2
869,1178,2
870,1179,1
871,1180,1
872,1181,1
873,1183,2
874,1184,2
875,1186,2
876,1187,2
877,1188,2
878,1189,1
879,1192,1
880,1193,1
881,1194,1
882,1195,1
883,1196,1
884,1198,1
885,1199,2
886,1200,1
887,1202,3
888,1209,1
889,1210,2
890,1212,1
891,1218,1
892,1220,1
893,1221,2
894,1222,2
895,1223,4
896,1224,1
897,1227,1
898,1228,3
899,1229,3
900,1230,3
901,1233,1
902,1235,1
903,1236,1
904,1237,3
905,1238,4
906,1239,1
907,1242,1
908,1243,1
909,1244,1
910,1246,1
911,1247,1
912,1248,2
913,1250,3
914,1251,2
915,1252,1
916,1253,1
917,1254,1
918,1255,1
919,1257,1
920,1258,1
921,1259,2
922,1263,1
923,1265,1
924,1266,1
925,1268,2
926,1269,4
927,1274,3
928,1275,1
929,1276,1
930,1277,1
931,1278,1
932,1282,1
933,1283,2
934,1286,2
935,1287,6
936,1288,2
937,1289,1
938,1291,3
939,1292,2
940,1293,1
941,1294,1
942,1297,2
943,1300,2
944,1301,2
945,1304,1
946,1305,1
947,1308,1
948,1309,2
949,1311,1
950,1314,1
951,1317,2
952,1319,1
953,1321,1
954,1322,1
955,1323,1
956,1326,3
957,1327,2
958,1328,2
959,1330,1
960,1331,1
961,1332,2
962,1333,1
963,1334,2
964,1335,1
965,1337,4
966,1338,1
967,1340,1
968,1341,2
969,1342,2
970,1343,2
971,1345,2
972,1348,1
973,1349,1
974,1350,2
975,1351,1
976,1352,2
977,1353,4
978,1354,1
979,1355,1
980,1359,1
981,1362,6
982,1365,3
983,1369,1
984,1370,2
985,1371,1
986,1373,2
987,1374,2
988,1375,2
989,1376,1
990,1377,1
991,1378,3
992,1381,1
993,1382,2
994,1383,1
995,1386,2
996,1387,1
997,1390,2
998,1391,6
999,1392,3
1000,1395,1
1001,1397,2
1002,1399,1
1003,1400,2
1004,1402,1
1005,1403,1
1006,1404,1
1007,1405,1
1008,1406,1
1009,1407,1
1010,1408,3
1011,1409,1
1012,1410,1
1013,1411,1
1014,1412,4
1015,1415,2
1016,1416,2
1017,1419,1
1018,1420,3
1019,1421,1
1020,1422,1
1021,1423,2
1022,1426,2
1023,1427,2
1024,1428,1
1025,1429,1
1026,1430,1
1027,1431,3
1028,1434,2
1029,1435,1
1030,1436,3
1031,1437,2
1032,1438,1
1033,1439,2
1034,1440,2
1035,1443,1
1036,1445,2
1037,1446,3
1038,1448,1
1039,1450,1
1040,1451,2
1041,1452,2
1042,1453,1
1043,1454,1
1044,1455,1
1045,1457,3
1046,1459,3
1047,1460,3
1048,1461,3
1049,1462,2
1050,1464,1
1051,1465,1
1052,1467,3
1053,1468,2
1054,1469,1
1055,1470,1
1056,1471,2
1057,1472,1
1058,1475,3
1059,1477,2
1060,1479,2
1061,1480,1
1062,1482,2
1063,1483,1
1064,1484,2
1065,1485,1
1066,1486,1
1067,1487,2
1068,1488,3
1069,1491,1
1070,1492,2
1071,1493,1
1072,1494,4
1073,1495,1
1074,1497,1
1075,1498,1
1076,1499,1
1077,1500,2
1078,1501,3
1079,1504,2
1080,1506,2
1081,1507,1
1082,1508,2
1083,1509,2
1084,1510,3
1085,1511,2
1086,1514,1
1087,1516,1
1088,1517,2
1089,1518,1
1090,1519,1
1091,1520,3
1092,1521,1
1093,1524,2
1094,1526,1
1095,1527,1
1096,1528,2
1097,1529,2
1098,1530,1
1099,1531,1
1100,1532,3
1101,1533,3
1102,1536,1
1103,1537,2
1104,1538,2
1105,1539,1
1106,1542,2
1107,1543,3
1108,1544,1
1109,1545,1
1110,1546,3
1111,1547,4
1112,1548,1
1113,1549,2
1114,1550,1
1115,1551,1
1116,1552,3
1117,1553,1
1118,1554,1
1119,1555,2
1120,1557,2
1121,1559,3
1122,1560,1
1123,1562,3
1124,1563,3
1125,1567,3
1126,1568,2
1127,1572,1
1128,1573,2
1129,1576,3
1130,1577,1
1131,1578,2
1132,1579,1
1133,1580,1
1134,1581,3
1135,1582,2
1136,1584,1
1137,1585,1
1138,1586,2
1139,1587,3
1140,1588,2
1141,1589,1
1142,1590,2
1143,1591,2
1144,1592,2
1145,1593,1
1146,1595,6
1147,1596,2
1148,1597,3
1149,1598,2
1150,1599,3
1151,1601,2
1152,1602,2
1153,1603,2
1154,1604,1
1155,1605,1
1156,1607,1
1157,1609,1
1158,1610,1
1159,1611,2
1160,1612,1
1161,1613,3
1162,1614,2
1163,1615,3
1164,1616,2
1165,1618,2
1166,1619,5
1167,1620,5
1168,1621,2
1169,1622,1
1170,1623,1
1171,1624,3
1172,1626,1
1173,1627,2
1174,1630,4
1175,1631,3
1176,1632,1
1177,1634,5
1178,1635,1
1179,1638,1
1180,1639,3
1181,1640,1
1182,1641,1
1183,1642,1
1184,1643,3
1185,1644,2
1186,1646,4
1187,1647,2
1188,1648,1
1189,1650,3
1190,1651,2
1191,1652,1
1192,1653,3
1193,1655,6
1194,1657,1
1195,1658,1
1196,1659,1
1197,1660,1
1198,1661,1
1199,1662,5
1200,1665,2
1201,1666,3
1202,1667,1
1203,1668,4
1204,1672,1
1205,1673,1
1206,1675,2
1207,1676,4
1208,1677,1
1209,1678,1
1210,1679,1
1211,1684,1
1212,1687,5
1213,1688,1
1214,1689,2
1215,1692,1
1216,1694,4
1217,1696,1
1218,1698,2
1219,1699,1
1220,1700,2
1221,1701,3
1222,1702,2
1223,1705,1
1224,1706,1
1225,1707,1
1226,1708,5
1227,1710,1
1228,1711,1
1229,1712,4
1230,1713,2
1231,1714,2
1232,1716,3
1233,1717,1
1234,1718,1
1235,1719,1
1236,1721,1
1237,1722,2
1238,1723,1
1239,1724,1
1240,1725,1
1241,1726,1
1242,1727,4
1243,1728,4
1244,1729,1
1245,1730,1
1246,1731,1
1247,1732,2
1248,1733,1
1249,1734,2
1250,1735,2
1251,1736,1
1252,1743,2
1253,1744,2
1254,1745,3
1255,1746,3
1256,1747,1
1257,1748,1
1258,1749,1
1259,1751,1
1260,1752,3
1261,1753,1
1262,1756,1
1263,1758,3
1264,1759,1
1265,1760,3
1266,1761,1
1267,1762,1
1268,1763,1
1269,1765,1
1270,1766,1
1271,1767,1
1272,1768,4
1273,1769,3
1274,1770,2
1275,1771,1
1276,1775,1
1277,1776,3
1278,1778,1
1279,1780,5
1280,1782,1
1281,1783,1
1282,1784,3
1283,1785,3
1284,1786,2
1285,1789,1
1286,1790,2
1287,1791,2
1288,1792,2
1289,1793,2
1290,1794,2
1291,1795,2
1292,1796,2
1293,1797,2
1294,1798,2
1295,1799,1
1296,1800,2
1297,1804,1
1298,1805,1
1299,1806,2
1300,1807,2
1301,1809,1
1302,1810,1
1303,1812,1
1304,1813,1
1305,1815,1
1306,1816,1
1307,1819,4
1308,1821,3
1309,1823,6
1310,1824,2
1311,1825,4
1312,1826,1
1313,1827,6
1314,1828,2
1315,1829,2
1316,1831,2
1317,1832,2
1318,1834,3
1319,1837,2
1320,1838,2
1321,1839,2
1322,1840,2
1323,1842,1
1324,1843,1
1325,1844,2
1326,1845,5
1327,1846,1
1328,1847,1
1329,1848,1
1330,1850,1
1331,1852,3
1332,1853,1
1333,1854,2
1334,1855,2
1335,1856,1
1336,1858,2
1337,1861,2
1338,1866,2
1339,1867,1
1340,1868,1
1341,1869,2
1342,1870,2
1343,1872,1
1344,1873,1
1345,1876,1
1346,1877,2
1347,1878,2
1348,1880,3
1349,1881,4
1350,1884,1
1351,1885,4
1352,1887,2
1353,1889,2
1354,1890,2
1355,1891,3
1356,1892,2
1357,1893,3
1358,1894,1
1359,1895,2
1360,1897,2
1361,1900,1
1362,1901,6
1363,1902,1
1364,1903,1
1365,1904,1
1366,1906,2
1367,1909,6
1368,1911,1
1369,1912,1
1370,1913,1
1371,1914,1
1372,1915,1
1373,1916,1
1374,1917,1
1375,1919,1
1376,1920,1
1377,1923,1
1378,1924,1
1379,1926,2
1380,1928,1
1381,1929,2
1382,1930,2
1383,1931,1
1384,1932,2
1385,1933,2
1386,1935,2
1387,1936,2
1388,1937,3
1389,1939,2
1390,1940,1
1391,1941,2
1392,1942,2
1393,1945,2
1394,1946,3
1395,1947,1
1396,1948,1
1397,1950,2
1398,1951,1
1399,1952,2
1400,1953,3
1401,1954,6
1402,1955,1
1403,1956,6
1404,1957,1
1405,1958,2
1406,1960,2
1407,1965,1
1408,1966,1
1409,1967,1
1410,1968,1
1411,1969,1
1412,1970,1
1413,1974,1
1414,1975,2
1415,1977,4
1416,1978,2
1417,1979,2
1418,1980,1
1419,1981,2
1420,1982,1
1421,1983,1
1422,1984,3
1423,1985,2
1424,1988,4
